Title,Question,Answer,Relevant_doc,Question_answer
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,Guideline title: M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals  Can you provide a definition of a 50-fold clinical exposure margin in terms of how it is calculated and whether it relates to the intended therapeutic clinical exposure or the maximum exposure achieved in phase 1 trials?,"Generally, the exposure margins should be calculated using the group/cohort mean area under the curve (AUC) values for animals at the highest dose tested and for humans at the anticipated therapeutic exposure. In some special cases, based on prior knowledge of the compound class, exposure limits based on C\({}_{\max}\) (maximum plasma concentration) might also be appropriate (e.g., if it is suspected that the drug could cause seizures).

Using the 50-fold approach, the high dose in the toxicity studies should be selected to produce a 50-fold exposure margin over the anticipated clinical exposure at the highest dose proposed for phase 2 and 3 studies (see the exception for phase 3 trials in the United States (ICH M3(R2) guidance, section I.E High Dose Selection for General Toxicity Studies (1.5)), and the answers to Q2 and Q3 of this section). For phase 1 clinical trials, it is recognized that the therapeutic exposure generally will be exceeded and smaller margins are appropriate (for example, see answers to Q2 and Q3).",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: Can you provide a definition of a 50-fold clinical exposure margin in terms of how it is calculated and whether it relates to the intended therapeutic clinical exposure or the maximum exposure achieved in phase 1 trials?
  Answer: Generally, the exposure margins should be calculated using the group/cohort mean area under the curve (AUC) values for animals at the highest dose tested and for humans at the anticipated therapeutic exposure. In some special cases, based on prior knowledge of the compound class, exposure limits based on C\({}_{\max}\) (maximum plasma concentration) might also be appropriate (e.g., if it is suspected that the drug could cause seizures).

Using the 50-fold approach, the high dose in the toxicity studies should be selected to produce a 50-fold exposure margin over the anticipated clinical exposure at the highest dose proposed for phase 2 and 3 studies (see the exception for phase 3 trials in the United States (ICH M3(R2) guidance, section I.E High Dose Selection for General Toxicity Studies (1.5)), and the answers to Q2 and Q3 of this section). For phase 1 clinical trials, it is recognized that the therapeutic exposure generally will be exceeded and smaller margins are appropriate (for example, see answers to Q2 and Q3).
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"This question is about M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals  When using the 50-fold exposure approach and there are no adverse findings in the rodent and nonrodent toxicity studies, if the clinical dose is escalated up to the agreed limit (I/50\({}^{\text{th}}\) of the exposure achieved at the top dose in animal studies) and there are no adverse findings in humans, is it possible to escalate the clinical dose further?","In this situation, if the clinical dose is escalated to 1/50\({}^{\text{th}}\) of the maximum exposure in the animal studies and no treatment-related adverse effects are noted in volunteers/patients, for short-term clinical studies (e.g., 14 days duration) the clinical dose could be cautiously further escalated up to \(1/10^{\text{th}}\) of the maximum exposure in the animal studies, or to a dose that produces adverse effects in humans, whichever occurs first. This is reasonable because exploratory trials Approach 4 (not intended to evaluate a maximum tolerated dose (MTD) supports dosing for 14 days up to \(1/10^{\text{th}}\) the NOAEL (no observed adverse event level) exposure with the same First-In-Human enabling toxicity studies.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: When using the 50-fold exposure approach and there are no adverse findings in the rodent and nonrodent toxicity studies, if the clinical dose is escalated up to the agreed limit (I/50\({}^{\text{th}}\) of the exposure achieved at the top dose in animal studies) and there are no adverse findings in humans, is it possible to escalate the clinical dose further?
  Answer: In this situation, if the clinical dose is escalated to 1/50\({}^{\text{th}}\) of the maximum exposure in the animal studies and no treatment-related adverse effects are noted in volunteers/patients, for short-term clinical studies (e.g., 14 days duration) the clinical dose could be cautiously further escalated up to \(1/10^{\text{th}}\) of the maximum exposure in the animal studies, or to a dose that produces adverse effects in humans, whichever occurs first. This is reasonable because exploratory trials Approach 4 (not intended to evaluate a maximum tolerated dose (MTD) supports dosing for 14 days up to \(1/10^{\text{th}}\) the NOAEL (no observed adverse event level) exposure with the same First-In-Human enabling toxicity studies.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"Drawing from the insights of M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , When toxicity study doses are selected by using the 50-fold exposure approach and there are adverse findings in at least one of the toxicity studies, but the findings are not dose-limiting, what is the limitation for clinical exposure?","Doses might be escalated in the clinical studies based on the NOAEL for the adverse findings identified in the toxicity studies. The clinical doses should not be limited by the 50-fold margin in this case but should be based on standard risk assessment approaches (e.g., whether the findings are reversible and/or monitorable, the severity of the indication, adverse effects in clinical studies). Note the exception for phase 3 trials in the United States (section I.E (1.5) of ICH M3(R2)).",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: When toxicity study doses are selected by using the 50-fold exposure approach and there are adverse findings in at least one of the toxicity studies, but the findings are not dose-limiting, what is the limitation for clinical exposure?
  Answer: Doses might be escalated in the clinical studies based on the NOAEL for the adverse findings identified in the toxicity studies. The clinical doses should not be limited by the 50-fold margin in this case but should be based on standard risk assessment approaches (e.g., whether the findings are reversible and/or monitorable, the severity of the indication, adverse effects in clinical studies). Note the exception for phase 3 trials in the United States (section I.E (1.5) of ICH M3(R2)).
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"Based on the information from M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , Does the 50-fold exposure limit only apply to small molecules?","Yes, the 50-fold margin of exposure limit dose applies to small molecules only. As stated in section I.C (1.3) of ICH M3(R2), the guidance only applies to biologics with regard to timing of nonclinical studies relative to clinical development. High dose selection for nonclinical studies of biologics is different from that for small molecules (see ICH S6(R1)3). Footnote 3: The ICH guidances referenced in this document are available on the FDA Drugs guidance Web page at http://www.fda.gov/Drugs/GuidanceComplianceRegulatoryInformation/Guidances/default.htm. We update guidances periodically. To make sure you have the most recent version of a guidance, check the Drugs guidance Web page.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: Does the 50-fold exposure limit only apply to small molecules?
  Answer: Yes, the 50-fold margin of exposure limit dose applies to small molecules only. As stated in section I.C (1.3) of ICH M3(R2), the guidance only applies to biologics with regard to timing of nonclinical studies relative to clinical development. High dose selection for nonclinical studies of biologics is different from that for small molecules (see ICH S6(R1)3). Footnote 3: The ICH guidances referenced in this document are available on the FDA Drugs guidance Web page at http://www.fda.gov/Drugs/GuidanceComplianceRegulatoryInformation/Guidances/default.htm. We update guidances periodically. To make sure you have the most recent version of a guidance, check the Drugs guidance Web page.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"Drawing from the insights of M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , When making a maximum feasible dose (MFD) argument, to what lengths should the sponsor go to justify the MFD?","The MFD should be a dose that attempts to maximize exposure in toxicity studies, rather than maximize the administered dose. However, formulation volumes that can be administered should be based on anatomical and physiological attributes of the test species and properties of the formulation, and can have an impact on the MFD. In addition, the chemical and physical stability of the formulation are important criteria for suitability for use in toxicity studies and could limit the selection of vehicles for determining the MFD. Solubility limits can restrict the dose for some routes, such as intravenous. Solubility limits are not usually considered sufficient to justify the MFD for some other routes of administration, such as inhalation or oral. The characteristics of multiple formulations of the test article, with a range of properties (e.g., aqueous and non-aqueous and various viscosities), should be investigated before dosing in animals. The most promising formulations (generally three) should be evaluated in animals to determine which formulation produces maximal exposure. The vehicles used should be well characterized in the scientific literature or selected based on experience (sponsor or regulatory agency information) to provide confidence that they will not cause significant toxicity under conditions of use.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: When making a maximum feasible dose (MFD) argument, to what lengths should the sponsor go to justify the MFD?
  Answer: The MFD should be a dose that attempts to maximize exposure in toxicity studies, rather than maximize the administered dose. However, formulation volumes that can be administered should be based on anatomical and physiological attributes of the test species and properties of the formulation, and can have an impact on the MFD. In addition, the chemical and physical stability of the formulation are important criteria for suitability for use in toxicity studies and could limit the selection of vehicles for determining the MFD. Solubility limits can restrict the dose for some routes, such as intravenous. Solubility limits are not usually considered sufficient to justify the MFD for some other routes of administration, such as inhalation or oral. The characteristics of multiple formulations of the test article, with a range of properties (e.g., aqueous and non-aqueous and various viscosities), should be investigated before dosing in animals. The most promising formulations (generally three) should be evaluated in animals to determine which formulation produces maximal exposure. The vehicles used should be well characterized in the scientific literature or selected based on experience (sponsor or regulatory agency information) to provide confidence that they will not cause significant toxicity under conditions of use.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"Drawing from the insights of M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , What if dose-limiting toxicity is not identified in any species and there is only one nonclinical toxicity study in each species before the phase 3 study (regarding phase 3 recommendation for the United States)?","The guidelines for high dose selection for general toxicity studies apply irrespective of the length or complexity of the drug development paradigm. In accord with the recommendation to support phase 3 studies in the United States (see section I.E (1.5) of ICH M3(R2)), an assessment of doses up to an MTD, MFD or limit dose should be conducted in an attempt to identify toxicity.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: What if dose-limiting toxicity is not identified in any species and there is only one nonclinical toxicity study in each species before the phase 3 study (regarding phase 3 recommendation for the United States)?
  Answer: The guidelines for high dose selection for general toxicity studies apply irrespective of the length or complexity of the drug development paradigm. In accord with the recommendation to support phase 3 studies in the United States (see section I.E (1.5) of ICH M3(R2)), an assessment of doses up to an MTD, MFD or limit dose should be conducted in an attempt to identify toxicity.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"As described in M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , Does the guidance on high dose selection and the 50-fold margin of clinical AUC apply to routes other than oral (e.g., dermal, inhalation)?","For any drug intended to provide systemic exposure (including transdermal), the 50-fold approach is considered appropriate. For topical drugs intended to produce local effects, the high dose in topical toxicity studies should generally be based on the MFD or MTD and might not achieve high local concentrations or high systemic exposures compared to those achieved clinically. In this case, a 50-fold systemic margin is not relevant.

For inhaled drugs with intended systemic action, the high dose in an inhalation toxicity study could be one that produces an AUC value of greater than or equal to 50-fold the clinical systemic exposure and a 10-fold margin over the calculated deposited lung dose. For inhaled drugs that are designed to work locally in the lungs, the high dose could be one that achieved a calculated deposited lung dose of 50 times the calculated clinical deposited lung dose and produced a 10-fold margin over the AUC achieved in humans at the clinical dose.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: Does the guidance on high dose selection and the 50-fold margin of clinical AUC apply to routes other than oral (e.g., dermal, inhalation)?
  Answer: For any drug intended to provide systemic exposure (including transdermal), the 50-fold approach is considered appropriate. For topical drugs intended to produce local effects, the high dose in topical toxicity studies should generally be based on the MFD or MTD and might not achieve high local concentrations or high systemic exposures compared to those achieved clinically. In this case, a 50-fold systemic margin is not relevant.

For inhaled drugs with intended systemic action, the high dose in an inhalation toxicity study could be one that produces an AUC value of greater than or equal to 50-fold the clinical systemic exposure and a 10-fold margin over the calculated deposited lung dose. For inhaled drugs that are designed to work locally in the lungs, the high dose could be one that achieved a calculated deposited lung dose of 50 times the calculated clinical deposited lung dose and produced a 10-fold margin over the AUC achieved in humans at the clinical dose.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"Delving into M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , Does the 50-fold margin apply to juvenile animal studies? Can the 50-fold margin be used to select the top dose for reproductive toxicity studies?","Similar principles of reliance on exposure margins to limit the top dose should be applicable to some other types of toxicity testing, such as juvenile animal toxicity studies where toxicity is not anticipated. Use of a 50-fold margin for top doses in reproductive toxicity studies has not been addressed; however, current ICHguidance states that minimal toxicity is expected to be induced in the high dose dams although other factors can also limit the dose (see ICH S5(R2)).",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: Does the 50-fold margin apply to juvenile animal studies? Can the 50-fold margin be used to select the top dose for reproductive toxicity studies?
  Answer: Similar principles of reliance on exposure margins to limit the top dose should be applicable to some other types of toxicity testing, such as juvenile animal toxicity studies where toxicity is not anticipated. Use of a 50-fold margin for top doses in reproductive toxicity studies has not been addressed; however, current ICHguidance states that minimal toxicity is expected to be induced in the high dose dams although other factors can also limit the dose (see ICH S5(R2)).
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"As per the details in M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , What exposure limits should be applied for clinical development studies when the top dose for the nonclinical studies is the limit dose such as 1000 mg/kg or 2000 mg/kg described in section 1.5 or an MFD and no toxicity is observed at this dose?","The clinical dose could be conservatively escalated up to one that produced a plasma AUC exposure of 1/2 that seen in the animal species that gives the lowest exposure at the limit dose or MFD. If there are no adverse effects in humans at this clinical exposure, further careful escalation might be justified based on risk/benefit considerations.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: What exposure limits should be applied for clinical development studies when the top dose for the nonclinical studies is the limit dose such as 1000 mg/kg or 2000 mg/kg described in section 1.5 or an MFD and no toxicity is observed at this dose?
  Answer: The clinical dose could be conservatively escalated up to one that produced a plasma AUC exposure of 1/2 that seen in the animal species that gives the lowest exposure at the limit dose or MFD. If there are no adverse effects in humans at this clinical exposure, further careful escalation might be justified based on risk/benefit considerations.
  "
M3(R2)Nonclinical_Safety_Studies_for_the_Conduct_of_Human_Clinical_Trials_and_Marketing_Authorization_for_Pharmaceuticals__Questions_and_Answers_MARCH_2013.mmd,"As explained in M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals , In the M3(R2) guidance, what does ""significantly greater"" mean in the following statement: ""Nonclinical characterization of a human metabolite(s) is only warranted when that metabolite(s) is observed at exposures greater than 10 percent of total drug-related exposure and at significantly greater levels in humans than the maximum exposure seen in the toxicity studies""?","""Significantly greater"" means that the metabolite(s) should be observed at levels in humans that are noticeably higher than the maximum exposure seen in the toxicity studies.",M3(R2) Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals ,"Question: In the M3(R2) guidance, what does ""significantly greater"" mean in the following statement: ""Nonclinical characterization of a human metabolite(s) is only warranted when that metabolite(s) is observed at exposures greater than 10 percent of total drug-related exposure and at significantly greater levels in humans than the maximum exposure seen in the toxicity studies""?
  Answer: ""Significantly greater"" means that the metabolite(s) should be observed at levels in humans that are noticeably higher than the maximum exposure seen in the toxicity studies.
  "
